receipt number,PD,notice date,days,month
SRC1890594433,8/3/2018,2020-01-24,539,20-Jan
SRC1990110613,11/28/2018,2020-01-24,422,20-Jan
SRC1990191142,1/24/2019,2020-01-24,365,20-Jan
SRC1990241614,2/25/2019,2020-01-24,333,20-Jan
SRC1990528052,8/23/2019,2020-01-27,157,20-Jan
SRC1990357520,5/2/2019,2020-01-27,270,20-Jan
SRC1990357519,5/2/2019,2020-01-27,270,20-Jan
SRC1990357517,5/2/2019,2020-01-27,270,20-Jan
SRC1990357515,5/2/2019,2020-01-27,270,20-Jan
SRC1990341326,4/22/2019,2020-01-27,280,20-Jan
SRC1990341323,4/22/2019,2020-01-27,280,20-Jan
SRC1990260503,3/7/2019,2020-01-27,326,20-Jan
SRC1990260406,3/7/2019,2020-01-27,326,20-Jan
SRC1990238720,2/22/2019,2020-01-27,339,20-Jan
SRC1990109515,12/3/2018,2020-01-27,420,20-Jan
SRC1990049448,10/22/2018,2020-01-27,462,20-Jan
SRC1890514749,6/22/2018,2020-01-27,584,20-Jan
SRC1990264515,3/8/2019,2020-01-28,326,20-Jan
SRC1990301454,4/1/2019,2020-01-29,303,20-Jan
SRC1990266016,3/11/2019,2020-01-29,324,20-Jan
SRC1990241407,2/25/2019,2020-01-29,338,20-Jan
SRC1990224671,2/14/2019,2020-01-29,349,20-Jan
SRC1990224609,2/14/2019,2020-01-29,349,20-Jan
SRC1990136888,12/13/2018,2020-01-29,412,20-Jan
SRC1990126474,12/10/2018,2020-01-29,415,20-Jan
SRC1890646577,8/29/2018,2020-01-29,518,20-Jan
SRC1890633558,8/31/2018,2020-01-29,516,20-Jan
SRC1990224598,2/14/2019,2020-01-29,349,20-Jan
SRC1990100241,11/19/2018,2020-01-30,437,20-Jan
SRC1990106929,11/21/2018,2020-01-30,435,20-Jan
SRC1990120909,12/5/2018,2020-01-30,421,20-Jan
SRC1990126491,12/10/2018,2020-01-30,416,20-Jan
SRC1990218597,2/11/2019,2020-01-30,353,20-Jan
SRC1990058701,10/31/2018,2020-01-31,457,20-Jan
SRC1990260408,3/7/2019,2020-02-03,333,20-Feb
SRC1990199445,1/30/2019,2020-02-03,369,20-Feb
SRC1990260407,3/7/2019,2020-02-03,333,20-Feb
SRC1890673710,9/24/2018,2020-02-04,498,20-Feb
SRC1990045368,10/24/2018,2020-02-04,468,20-Feb
SRC1990120706,12/10/2018,2020-02-04,421,20-Feb
SRC1890663445,8/31/2018,2020-02-05,523,20-Feb
SRC1890544443,7/3/2018,2020-02-05,582,20-Feb
SRC1890576982,7/27/2018,2020-02-05,558,20-Feb
SRC1990429293,6/13/2019,2020-02-05,237,20-Feb
SRC1990235639,2/21/2019,2020-02-06,350,20-Feb
SRC1990307999,4/3/2019,2020-02-06,309,20-Feb
SRC1990112691,11/28/2018,2020-02-06,435,20-Feb
SRC1990224630,2/14/2019,2020-02-06,357,20-Feb
SRC1990078342,11/6/2018,2020-02-06,457,20-Feb
SRC1890542603,7/2/2018,2020-02-06,584,20-Feb
SRC1990083013,11/9/2018,2020-02-06,454,20-Feb
SRC1990353273,2019-04-29,2020-02-20,297,20-Feb
SRC1890617725,2018-08-16,2020-02-20,553,20-Feb
SRC1990353272,2019-04-29,2020-02-20,297,20-Feb
SRC1990352930,2019-04-29,2020-02-20,297,20-Feb
SRC1990117593,2018-12-04,2020-02-20,443,20-Feb
SRC1990049336,2018-10-19,2020-02-20,489,20-Feb
SRC1990353227,2019-04-29,2020-02-20,297,20-Feb
SRC1990352597,2019-04-29,2020-02-20,297,20-Feb
SRC1990352926,2019-04-29,2020-02-20,297,20-Feb
SRC1990224622,2019-02-14,2020-02-20,371,20-Feb
SRC1990163893,2018-12-28,2020-02-20,419,20-Feb
SRC1890662810,2018-08-31,2020-02-20,538,20-Feb
SRC1990353151,2019-04-29,2020-02-21,298,20-Feb
SRC1990154618,2018-12-19,2020-02-21,429,20-Feb
SRC1890618477,2018-08-22,2020-02-21,548,20-Feb
